Player	Full Name	Date and Place of Birth	Current Age	Major Teams	Playing Role	Batting Style	Bowling Style	Highest ODI Score	ODI Debut	Profile Information	Picture of the Player	Country
Shimron Hetmyer	Shimron Odilon Hetmyer	December 26, 1996, Cumberland, Berbice, Guyana 	24 years 64 days	West Indies, Delhi Capitals, Guyana, Guyana Amazon Warriors, Guyana Under-19s, Royal Challengers Bangalore, UWI Vice Chancellor's XI, West Indies A, West Indies Board President's XI, West Indies President's XI, West Indies Under-19s	Top-order batsman	Left-hand bat		139	New Zealand v West Indies at Whangarei, Dec 20, 2017	"Shimron Hetmyer, a left-hand batsman, had played four games after his first-class debut for Guyana in April 2014 before he led West Indies to their first Under-19 World Cup title, in Bangladesh in 2015-16. 
 ""We identified Hetmyer as captain because we liked the way he went about it in the field,"" West Indies Under-19 coach Graeme West had said before the World Cup. ""He did things a little differently, he was very positive. In terms of passion and enthusiasm, you can't fault him.""
 Hetmyer scored 158 runs in six games in that competition, including successive fifties in the quarter-final and semi-final. It was his second Under-19 World Cup - he had also featured in the 2014 edition of the tournament in the United Arab Emirates.
 Hetmyer was picked up by CPL franchise Guyana Amazon Warriors for the 2016 edition of the tournament.
 ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1232618.html"",""Shimron Hetmyer"")"	West Indies
Nicholas Pooran	Nicholas Pooran	October 2, 1995, Trinidad 	25 years 149 days	West Indies, Barbados Tridents, City Kaitak, Guyana Amazon Warriors, Islamabad United, Kerala Kings, Khulna Titans, Kings XI Punjab, Melbourne Stars, Multan Sultans, Mumbai Indians, Northern Warriors, St Kitts and Nevis Patriots, Sydney Sixers, Trinidad & Tobago, Trinidad & Tobago Red Steel, Trinidad & Tobago Under-19s, West Indies B, West Indies Cricket Board President's XI, West Indies Under-19s, Yorkshire	Wicketkeeper batsman	Left-hand bat		118	Pakistan v West Indies at Dubai (DSC), Sep 23, 2016	"Nicholas Pooran confirmed his status as one of the most exciting young batting talents in the modern game with a sublime innings of 118 off 103 in West Indies' defeat to Sri Lanka at the 2019 World Cup, but only four years earlier the idea that he would play international cricket seemed fanciful. 
 A year after finishing as the fourth-highest run-scorer at the U-19 World Cup in early 2014, Pooran was involved in a serious car accident which left him with a torn patella tendon, fractured tibia and fractured ankle. After a long recovery process, he was handy a substantial contract for Barbados Tridents in the 2016 CPL on Kieron Pollard's recommendation. Unsure whether his body would continue to hold up, Pooran looked to maximise his earnings by playing in every franchise league he could including the BPL, the PSL, the Hong Kong Blitz, the T10 and for West Indies B in the Global T20 Canada. His first BPL deal, in 2016-17, earned him a ban from the WICB, who were displeased at his decision not to play regional cricket instead.
 His international breakthrough came in late 2018, when he hit his first half-century for West Indies off just 24 balls against India in Chennai. From there, he was parachuted into the World Cup squad, and given an opportunity as West Indies' No. 4 despite limited experience in 50-over cricket. He hit fifties against England and Afghanistan, plus a thrilling hundred against Sri Lanka, and finished the tournament with an average of 52.47 and a strike rate of 100.
 After an underwhelming first season for Kings XI Punjab in the IPL - he was previously picked up by Mumbai Indians in 2017 but did not play a game - he enjoyed a stellar 2020 season in the UAE, making 353 runs at a strike rate of 170, demonstrating his ability to dominate against spin and also pulling off a remarkable boundary save in the deep. He had come into the season off the back of a maiden T20 hundred for Guyana Amazon Warriors in the CPL, and followed it by playing his first first-class games in over six years for West Indies A in New Zealand.
 ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1220424.html"",""Nicholas Pooran"")"	West Indies
Matt Henry	Matthew James Henry	December 14, 1991, Christchurch, Canterbury 	29 years 76 days	New Zealand, Canterbury, Canterbury Under-17s, Canterbury Under-19s, Chennai Super Kings, Derbyshire, Kings XI Punjab, New Zealand A	Bowler	Right-hand bat	Right-arm fast-medium	48*	New Zealand v India at Wellington, Jan 31, 2014	"A slippery fast bowler, Matt Henry almost didn't play for New Zealand, as he underwent a major back surgery in 2012. Two years later, though, he was called up as cover during the ODI series against India, and thanks to a niggle to fellow injury-prone Hamish Bennett, Henry put the black cap on and registered the third-best figures for a New Zealand debutant in ODIs, claiming four wickets to seal New Zealand's 4-0 series triumph. He played in only two matches in the 2015 World Cup, and incredibly they were the most important, the semi-final against South Africa and the final against Australia.  
 Henry would make his Test debut at Lord's on the subsequent tour of England and made an immediate impression taking 4 for 93 in the first innings. Over the next four years his body held up well as he was a fairly regular member of New Zealand's Test and ODI sides and played the occasional T20I. 
 In 2019, he was a key part of New Zealand's incredible World Cup campaign. He took 14 wickets, including 4 for 47 against Bangladesh. But he saved his best spell for the winning semi-final at Old Trafford where he ripped through India's top order, claiming 3 for 37 including the tournament's leading scorer Rohit Sharma. He also took the key wicket of Jason Roy in the epic final against England at Lord's. 
 Henry stays consistently over 140kmph, likes to bowl full, and had only taken four five-fors in 14 first-class games spread over three seasons when he was called up for what initially looked like an apprenticeship with the New Zealand senior team.ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1222381.html"",""Matt Henry"")"	New Zealand
MS Dhoni	Mahendra Singh Dhoni	July 7, 1981, Ranchi, Bihar (now Jharkhand) 	39 years 236 days	India, Air India Blue, Asia XI, Bihar, Bradman XI, Chennai Super Kings, East Zone, East Zone Under-19s, Help for Heroes XI, India A, India Seniors, Indian Board President's XI, International XI, Jharkhand, Jharkhand Under-19s, Rajasthan Cricket Association President's XI, Rest of India, Rising Pune Supergiants, Sehwag XI	Wicketkeeper batsman	Right-hand bat	Right-arm medium	183*	Bangladesh v India at Chattogram, Dec 23, 2004	"Barring Sachin Tendulkar and Virat Kohli, MS Dhoni is probably the most popular and definitely the most scrutinised cricketer from India. He has got to this point coming from the cricketing backwaters, the mining state of Jharkhand, and through a home-made batting and wicketkeeping technique, and a style of captaincy that scales the highs and lows of both conservatism and unorthodoxy. Under Dhoni's captaincy, India have won the top prize in all formats: topping the Test rankings for 18 months starting December 2009, the 50-over World Cup in 2011 and the World T20 on his captaincy debut in 2007.
 Dhoni, then a ticket inspector with the Indian Railways, had escaped all attention bar the odd whisper among the followers of club cricket in Kolkata until he was 23, when he blasted two centuries in a triangular 50-over tournament for India A in Nairobi. Long-haired and fearless, he soon swaggered into international cricket, and became an instant darling of the crowds with ODI innings of 148 and 183 within a year of his debut.
 Dhoni demonstrated all that was right with the new middle-class India. He didn't respect reputations, but never disrespected either. He improvised, he learned, but didn't apologise for his batting style, which was not the most elegant. He became a multi-faceted ODI batsman, one who could accumulate, one who could rebuild, and one who could still unleash those big sixes.
 Along the way Dhoni showed leadership skills, which were recognised when Rahul Dravid gave up the captaincy in 2007. Just before that announcement from Dravid, Dhoni had taken a bunch of kids to South Africa and was leading India to a World Cup win in a format the country didn't even take seriously. The ODI captaincy was natural progression, and Anil Kumble just kept the seat warm in Tests for a year.
 Dhoni brought to captaincy a thick skin and relative indifference to results that an Indian captain needs to keep the job for long. Along with coach Gary Kirsten, he put his senior performers in a comfortable place, and they returned the favour with some of their best years in international cricket. His calmness on the field helped and worked like a charm in the shorter formats, although tactically he sometimes sat back for too long in Tests. All that can't argue with the fact that India had some of their best years in Test cricket, in terms of tangible achievement, under Dhoni.
 However, post the 50-over World Cup win in 2011, which Dhoni sealed with a timely 91 and his patented helicopter shot, an ageing team kept losing in unfamiliar conditions. After eight straight Test losses away from home, Dhoni the captain came under immense pressure, which was accentuated by a 2-1 home series loss to England in 2012-13, the first time India had lost at home in more than eight years. This brought out a new chapter in Dhoni's career wherein he seemed more assertive as a captain, started building a new team, played his best Test innings on a turner to win India the Chennai Test against Australia, and became the first captain to lead India to four wins in a series.  
 Away from home in the winter of 2013-14, India lost Test series in South Africa and New Zealand by 1-0 margins that did not reflect how close they came close to wins on both tours. The England tour of 2014 began promisingly, with a drawn first Test followed by a historic win at Lord's, but India crashed to earth immediately afterwards to lose the series 3-1. At Old Trafford and The Oval, with the batting crumbling around him, Dhoni played a couple of his bravest innings in Tests, dealing with the seam movement and bounce by stepping down the pitch and taking blows on his body. Wins once again proved elusive on the tour of Australia that followed, though India competed ferociously thanks to a young batting core led by Kohli. 
 Kohli had captained the side in the first Test, with Dhoni injured, and he would lead them in the fourth Test too, with Dhoni making a surprise announcement after the third Test in Melbourne that he was retiring from the longest format. Though his game was not as suited to Tests as it was to limited-overs cricket, Dhoni ended his career in whites with a proud record for a wicketkeeper: 4876 runs at an average of just over 38, and six hundreds. He had also captained India to more Test wins - 27 - than anyone else. 
 Dhoni continued to lead India in the shorter formats, and they shrugged off a win-less tour of Australia by reaching the semi-finals of the 2015 World Cup. A year later, they won the Asia Cup T20 in Bangladesh but exited the World T20 in the semi-finals, at home. Dhoni enjoyed a good tournament as a finisher, scoring 89 runs while only being dismissed once in five innings; he showed electric reflexes while keeping to the spinners, eventually playing on till the 2019 World Cup, though he gave up the limited-overs captaincy in January 2017.  
 India's defeat to New Zealand in the semi-final of the 2019 World Cup turned out to be Dhoni's final international match, although that wasn't officially confirmed till more than a year later. In the immediate aftermath of that result, there was lots of speculation about whether Dhoni would call it quits. He didn't, but he did opt out of India's series for the rest of 2019 and early 2020. The Covid-19 pandemic then brought all sporting action to a halt. Just as players' preparations for the delayed IPL began, in August, on India's Independence Day, Dhoni made the big announcement - on Instagram. He was retiring from all international cricket.
 In the IPL, Dhoni has been the face of the Chennai Super Kings franchise. He became so deeply associated with the city that he even became a co-owner of a Chennai-based football franchise. But in 2016, with Super Kings suspended for two seasons over issues stemming from the spot-fixing scandal of 2013, he was part of the IPL's new franchise Rising Pune Supergiants. Super Kings were reinstated in 2018 and Dhoni was back at the helm, leading the team to a fairytale third title. He almost repeated the feat in 2019, losing a thrilling final against Mumbai Indians by just 1 run.Sidharth Monga"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1220600.html"",""MS Dhoni"")"	India
Quinton de Kock	Quinton de Kock	December 17, 1992, Johannesburg, Gauteng 	28 years 73 days	South Africa, Cape Town Blitz, Cape Town Knight Riders, Delhi Daredevils, Easterns, Gauteng, Gauteng Under-19s, King Edward VII High School, Lions, Mumbai Indians, North of South Africa, Royal Challengers Bangalore, South Africa A, South Africa Under-19s, South African Composite XI, South African Invitation XI, Sunrisers Hyderabad, Titans	Wicketkeeper batsman	Left-hand bat		178	South Africa v New Zealand at Paarl, Jan 19, 2013	"Quinton de Kock's fearless striking and handy glovework have earned him comparisons to greats of the game like Adam Gilchrist and Mark Boucher, early in his career. By 21, de Kock shared the record for the most successive ODI centuries - three - before it was bettered by Kumar Sangakkara. A year later, he had established himself in all three formats.  
 De Kock grew up as a baseball player and even considered a move to the United States, but his father convinced him to pursue cricket instead. He attended King Edward VII High School, the alma mater of Graeme Smith and Neil McKenzie, and was picked for the South African Under-19 side, which he captained briefly. The leadership mantle was taken away ahead of the 2012 World Cup in Australia in order for him to concentrate on his batting. It paid off as topped South Africa's batting charts with 284 runs from six matches at 47.33 and a best of 126.
 De Kock was contracted to the Lions in 2012-13 and caught the national selectors' eyes when he starred in a match-winning partnership with Neil McKenzie in the Champions League T20 against Mumbai Indians. He also finished fourth on the first-class rankings, despite playing only six of the 10 matches that summer. 
 He was selected for South Africa's T20I series against New Zealand in 2012-13 to keep wickets in place of AB de Villiers, who asked to be rested. But he did not make much of a first impression on the international stage. After a lean series in Sri Lanka in July 2013, he was dropped. 
 De Kock returned in November that year and scored his first ODI century against Pakistan. A month later, he reeled off three in a row against India. Early in 2014, de Kock made his Test debut after Alviro Petersen took ill, but was only given a permanent place later that year, on a tour to Sri Lanka. He scored two half-centuries in his next three Tests, but then tore ankle ligaments during warm-up in a Test against West Indies in December. 
 The injury put de Kock at risk of missing the 2015 World Cup, but he recovered quickly. However, he struggled to find his old form and struggled through that tournament and a series against Bangladesh. Subsequently, he was dropped again and sent to the South African A side to find his touch. He did well for them in India and returned to the senior side, scoring two hundred in a five-match series against India and two more against England at home to reclaim his place. 
 De Kock also hit his stride in the shortest format, and scored his maiden half-century in the 2016 World T20. Along with two contributions in the 40s, he was South Africa's most successful batsman and was named in the ICC's team of the tournament. Firdose Moonda"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1100136.html?alt=1"",""Quinton de Kock"")"	South Africa
Mohammad Amir	Mohammad Amir	April 13, 1992, Gujjar Khan, Punjab 	28 years 321 days	Pakistan, Chittagong Vikings, Essex, Essex, Federal Areas, Federal Areas Leopards, Federally Administered Tribal Areas, Galle Gladiators, Imtiaz Ahmed's XI, Karachi Kings, Khulna Tigers, Khulna Titans, Maratha Arabians, National Bank of Pakistan, Northern (Pakistan), Pakistan Cricket Academy, Pakistan Cricket Board Patron's XI, Pakistan Under-19s, Rawalpindi, Rawalpindi Rams, Sind, Sui Southern Gas Corporation	Bowler	Left-hand bat	Left-arm fast	73*	Sri Lanka v Pakistan at Dambulla, Jul 30, 2009	"Mohammad Amir, a left-arm pace bowler, reveres Wasim Akram. Over 2007 and 2008, he also emerged, still improbably young, as a hot pace prospect. Even before he went to England on an U-19 tour, he had been picked out as a special talent by Akram himself at a pace camp he oversaw in Lahore in May 2007. By 2010, he had become the hottest pace bowling prospect around the world - but within months his career was in ruins following charges of spot-fixing.  
 He began in 2009 with an impressive showing on the domestic circuit, impressing with his whippy pace and swing. He took 55 wickets for National Bank of Pakistan in his debut season, and earned selection to the Pakistan World T20 squad. There he hit the big time, taking over from an out-of-sorts Sohail Tanvir and bowling with pace, accuracy and courage. 
 He hovered in the high 80mphs, touching even 90 on occasion and was a crucial opening link in Pakistan's title run. He bowled several nerveless final overs and one absolutely crucial opening over, in the final, when he dismissed tournament top-scorer Tillakaratne Dilshan for a five-ball duck, peppering him with quick, short balls. He carried his form over to the ODI version, picking up match-winning figures of 4 for 28 against Sri Lanka in August before turning in consistent spells in the Champions Trophy. 
 He picked six wickets on Test debut in Sri Lanka. Thereafter, over tours to New Zealand, Australia and England, he matured remarkably, building up his pace and both new-ball and reverse swing. The 2010 tour of England saw the best of him and he became the youngest bowler, at 18, to take 50 Test wickets. But his world crashed around him when he was implicated in a spot-fixing scam in which it was alleged that he had bowled deliberate, pre-planned no-balls in a Test. In February 2011 he was handed a five-year ban following investigations by an ICC tribunal. He pleaded guilty to the charges and was sentenced to six months in prison at Southwark Crown Court.
 After his release, Amir frequently expressed his contrition over the incident and co-operated with the ICC in spreading its anti-corruption message. Having been cleared to return to all forms of cricket in September 2015, he made his international comeback the following January, as part of Pakistan's limited-overs squad to New Zealand. On his next international assignment, the 20-over Asia Cup in Dhaka, he made waves once again, rattling India's top order with three wickets in a hostile spell of pace bowling. Amir's reintegration came full circle when he was selected in the Test squad for England later that year, setting up a comeback Test at Lord's, the venue where the spot-fixing scandal had derailed his career six years before.
 However, it is in Test cricket, the format supposedly perfectly designed for him to express his wizardry, that he has disappointed most profoundly. Magical spells with the new ball have been all too fleeting, and his performances in the three countries where conditions are arguably best suited to him, have been largely indifferent. With the ball, he averaged 42.41 in England in 2016, 28.83 in New Zealand that same year, and 61.60 when Australia whitewashed Pakistan at the turn of the year. The prodigious banana swing from that titillating left-arm angle - and that quite beautiful bowling action - does come, but not nearly as potently or regularly as memory suggests it did in his teenage years. In other words, Amir, in Test cricket, has flattered to deceive. 
 It depends on what he wants to be remembered for, though, because if he wishes to live for famous moments rather than a stellar career, he's got the biggest one tucked up already. In the Champions Trophy final against India, it was his opening salvo that put the game out of India's reach. Defending 338, he trapped Rohit Sharma in front in the first over, before taking Virat Kohli's outside edge twice in two balls - the first was dropped in the slips. Shikhar Dhawan fell at Amir's hands too, with the fast bowler's figures reading 6-2-16-3, as Pakistan stormed to victory by 180 runs. ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1221173.html"",""Mohammad Amir"")"	Pakistan
Jason Roy	Jason Jonathan Roy	July 21, 1990, Durban, South Africa 	30 years 222 days	England, Bengal Tigers, Chittagong Kings, Delhi Capitals, Delhi Daredevils, England Development XI, England Lions, Gujarat Lions, Lahore Qalandars, Nelson Mandela Bay Giants, Nelson Mandela Bay Giants, Perth Scorchers, Quetta Gladiators, Surrey, Surrey 2nd XI, Sydney Sixers, Sydney Thunder, Sylhet Sixers	Opening batsman	Right-hand bat		180	Ireland v England at Dublin (Malahide), May 8, 2015	"If there was any doubt over the value of Jason Roy to England's limited-overs team - and there probably shouldn't have been - it was dispelled on the way to their World Cup triumph of 2019. 
 Having started the tournament in formidable form - he made a half-century against South Africa and a brutal 153 against Bangladesh - he suffered a hamstring injury against West Indies and could only watch-on as England suffered tournament threatening defeats against Sri Lanka and Australia.
 Rushed back into the side - there was little evidence that he had fully recovered - Roy responded with three typically domineering half-centuries (innings of 66, 60 and 85) and three century partnerships with the equally prolific Jonny Bairstow in what were effectively knock-out games against India, New Zealand and Australia. By the end of that Australia game - the World Cup semi-final - Roy had registered three centuries and six half-centuries in his previous 11 ODI innings. Ben Stokes' brilliance understandably stole the headlines in the final, but there was no way England were reaching that stage without the remarkable consistency of Roy and Bairstow. Going into the final, the pair had recorded four century stands in succession (a record for a single tournament) and 11 in 32 ODIs. And they had the highest strike-rates in history of opening batsmen with more than 1,000 ODI runs to their name.
 The swaggering strokeplay of Roy became a central feature of England's limited-overs cricket after their miserable display in the 2015 World Cup insisted that a more adventurous approach was essential. For Roy, a Surrey opener of dashing disposition, such a change of emphasis was ideal. Under the leadership of Eoin Morgan, adamant that England must play free-spirited cricket, Roy found his voice, making his maiden ODI hundred in the UAE in late 2015 before adding two more at home to Sri Lanka the following summer - including 162, at the time the second-highest ODI score made by an England batsman, in front of his adoring home crowd at The Oval.
 There was even better to come. In banishing the blues of an Ashes Test thrashing in 2017-18, Roy surpassed Alex Hales' record one-day score for England of 171 (Hales had himself gone past Robin Smith in 2016) with 180 in Melbourne as Australia recognised an England one-day side performing with a freedom of expression that surpassed anything they could muster in response. This was far removed from the batsman who had endured such a dud season in Australia's Big Bash competition.
 Born in South Africa, Roy came to the UK aged 10 and soon started to move through the system. He was a hugely successful schoolboy cricketer for Whitgift, and made his Surrey debut as a 17-year-old in 2008 during the Twenty20 Cup and his fielding talents were noticed by England, who used him as a sub later that summer against South Africa. It wasn't until 2010 that he broke into the first team again. He promptly thumped 101 off 57 balls against Kent at Beckenham, Surrey's first T20 hundred. Later in the summer he struck an unbeaten 76 from 65 balls against Leicestershire on Championship debut. England's selectors gave him a place on the Performance Programme tour to India before the England Lions tour to Sri Lanka in early 2012.
 Roy's obvious ability in the shorter formats led to him twice winning T20 contracts in the Bangladesh Premier League but he struggled to build on a quietly impressive role in Surrey's 2011 promotion campaign, when he made his maiden first-class hundred. In 2013, he made two YB40 centuries - doubling his List A tally - but struggled badly in Championship cricket, scoring just 49 runs in seven innings.
 It was in 2014 that Roy made the leap from a prodigiously talented but erratic young cricketer to a consistent match-winner. The transformation was particularly evident in the NatWest T20 Blast, where he struck 677 runs at 48.35 apiece - the highest tally in the competition. England's T20 competition had undeniably produced an exciting batsman of international quality. Roy's uncomplicated clean-striking became as much a feature of Friday nights at The Oval as the beer-snakes and streakers. With his breathtaking power down the ground and penchant for switch-hitting - not to mention the fact he was born in South Africa - he was frequently compared to Kevin Pietersen, not least by Pietersen himself. His brilliance did not achieve the same levels in the following two summers - how could it? - but a destructive hundred against Somerset in 2015, and against Kent the following year, was a reminder of his unfettered talent.
 After working hard on pacing his innings in four-day cricket, Roy also blossomed in Championship cricket in 2014, hitting 1078 runs, the highest at the club, at an average of 50-plus without reigning in his destructiveness: his strike rate was still 84. He also averaged 47.65 in the Championship in a promotion year in 2015, his strike rate even higher.  
 By the summer's end, he was rewarded with a T20 international debut against India and in 2015 he became a fixture in England's limited-overs formats, building on a couple of promising 60s against Australia with a maiden ODI ton against Pakistan in Abu Dhabi, an innings that was rarely fluent - and that was entirely overshadowed by Jos Buttler's dash to his own hundred in record time - but one that provided proof of a growing survival mentality.
 After a breakthrough year in international cricket, which included helping England to the World T20 final, he won a maiden IPL contract for the 2017 tournament. But spending most of his time sitting in the dugout for Gujarat Lions was not productive and his form faltered ahead of the 2017 Champions Trophy. He had failed to pass 20 in nine ODI innings and was eventually dropped from England's side for the semi-final (which they lost), but he rebounded well in the late-September ODIs against West Indies after Hales' night out in Bristol cost him his spot. 
 The crowd-pleasing innings soon began to occur with increasing regularity, as one half of a prolific opening partnership with Jonny Bairstow that embodied the devil-may-care approach of an exciting England side that found itself top of the ODI rankings. As well as the Melbourne 180 (which also included a record-breaking 221 stand for the third wicket with Joe Root), there were further hundreds against Australia in Cardiff and Chester-le-Street in 2018; followed by two more, against West Indies and Pakistan, in the lead-up to the World Cup, pushing his average above 40 and leading to increased calls for him to be considered for the Ashes to follow later in 2019.
 He was unable to replicate such dominance when that Test call came. Despite an innings of 72 made from No. 3 on debut (England had utilised a nightwatchman) against Ireland, the somewhat puzzling decision to use him as an opening batsman - a role he had long since abandoned for Surrey; indeed, he had never batted for two complete sessions in a first-class game - exposed issues against the moving ball. In four Ashes Tests, he averaged just 13.75 with a best of 31. By the time he was demoted to No. 4, his confidence looked to have been eroded and he was dropped ahead of the final Test at The Oval.
 ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1222865.html"",""Jason Roy"")"	England
Nathan Coulter-Nile	Nathan Mitchell Coulter-Nile	October 11, 1987, Osborne Park, Western Australia 	33 years 140 days	Australia, Australia A, Australia Under-19s, Australian Cricket Academy, Australian XI, Delhi Daredevils, Fremantle, Kolkata Knight Riders, Melbourne Stars, Mumbai Indians, Perth Scorchers, Perth Scorchers, Prime Minister's XI, Royal Challengers Bangalore, Western Australia, Western Australia Second XI, Western Australia Under-19s, Western Australia Under-23s, Western Australia XI	Bowling allrounder	Right-hand bat	Right-arm fast	92	Australia v West Indies at Brisbane, Feb 13, 2013	"In an Australian era flush with fast bowling talent, Nathan Coulter-Nile is one of the most gifted athletes of all his contemporaries and when fit and healthy has been a staple in Australia's limited-overs formats. 
 Although primarily a fast bowler, Coulter-Nile first earned a call-up to Australia's Champions Trophy squad in 2013 through his all-round talents as much as his work with the ball. Described by the national selector John Inverarity as ""one of the three or four best fieldsmen in Australia"", Coulter-Nile is an energetic presence on the field and adds explosive lower-order hitting to any side for which he plays. However, his international career has been stop-start since day one with serious back, hamstring and shoulder injuries repeatedly curtailing any attempt at an extended run in the international side. He fought back from a shoulder dislocation in late 2015 to play in the 2016 T20 World Cup and came back from two back injuries to make the 2019 World Cup squad. 
 He has been on the cusp of the Test side on a number of occasions but injury and Australia's strong fast bowling depth have prevented him from earning a baggy green and a back injury in 2017 meant he had to opt out of first-class cricket for the time being to aid his longevity in the limited overs formats. 
 An awkward bowler to face, Coulter-Nile can get the ball to kick off a good length at speed. He announced himself in the 2012-13 Australian domestic season when won the Laurie Sawle Medal as Western Australia's Player of the Year. It was a breakthrough season for Coulter-Nile, who made his T20I debut in February and was sold to Mumbai Indians for $450,000 at the IPL auction the same month and has since been bought by four different franchises. He was a promising volleyball player in his youth but his raw cricketing talent saw him become an Australia Under-19s representative before making his debut for Western Australia in late 2009.ESPNcricinfo"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1186410.html"",""Nathan Coulter-Nile"")"	Australia
Abu Jayed	Abu Jayed Chowdhury	August 2, 1993 	27 years 210 days	Bangladesh, Bangladesh A, Bangladesh Under-17s, Bangladesh Under-19s, Bangladesh Under-23s, Brothers Union, Dhaka Dynamites, Fortune Barishal, Rajshahi Royals, Rangpur Riders, Sylhet Division	Bowler	Right-hand bat	Right-arm fast-medium	-	Bangladesh v West Indies at Dublin (Malahide), May 13, 2019		"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1221337.html"",""Abu Jayed"")"	Bangladesh
Lahiru Thirimanne	Hettige Don Rumesh Lahiru Thirimanne	August 9, 1989, Moratuwa 	31 years 203 days	Sri Lanka, Basnahira South, Kandurata Maroons, Prime Bank Cricket Club, Ragama Cricket Club, Sri Lanka A, Sri Lanka Board President's XI, Sri Lanka Board President's XI, Sri Lanka Cricket Development XI, Sri Lanka Under-19s	Top-order batsman	Left-hand bat	Right-arm medium-fast	139*	India v Sri Lanka at Dhaka, Jan 5, 2010	"An unflappable young talent with a killer cover drive, Lahiru Thirimanne came to the international landscape highly regarded by Sri Lanka's cricket elite, with Aravinda de Silva most notably among his champions. An opener by reputation, Thirimanne made his debut in early 2010 and earnt sporadic places in the national side over the next two years, but it was not until he was moved to the middle order in 2012 that he unearthed the consistency that would make him a regular at the top level.  
 A measured batsman, if at times a limited one, Thirimanne has been a contrasting ally for Sri Lanka's middle-order dashers in ODI cricket, striking particularly memorable partnerships with Angelo Mathews to lift Sri Lanka out of trouble.
 His forte has always been the longest form however, as evidenced by a first-class average of almost 60 in his first full season for Ragama CC. Thirimanne could not recreate that form in his first few Tests as an opener, but conjured his finest innings to date at no. 4, when he stepped off a plane 36 hours before the 2013 New Year Test to strike a sparkling 91 on the first day in Sydney. Ten days later he hit a maiden international hundred in an ODI to take Sri Lanka to victory in Adelaide. 
  Andrew Fernando "	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1224642.html"",""Lahiru Thirimanne"")"	Sri Lanka
David Warner	David Andrew Warner	October 27, 1986, Paddington, New South Wales 	34 years 124 days	Australia, Australia A, Australia Centre of Excellence, Australia Under-19s, Australian Cricketers Association All-Stars, Australian Institute of Sport, Australian XI, Brad Haddin XII, Cricket Australia Chairman's XI, Delhi Daredevils, Durham, Middlesex, New South Wales, New South Wales Institute of Sport, New South Wales Second XI, New South Wales Under-19s, New South Wales Under-23s, Northern Districts, St Lucia Stars, Sunrisers Hyderabad, Sydney Sixers, Sydney South East, Sydney Thunder, Sylhet Sixers, Winnipeg Hawks	Opening batsman	Left-hand bat	Legbreak	179	Australia v South Africa at Hobart, Jan 18, 2009	"David Warner's extraordinary batting feats in all three formats for Australia will forever be overshadowed by his role as the architect of the Newlands ball-tampering scandal in 2018 and his place as a central figure in Australian cricket's ensuing cultural crisis. 
 Warner was charged as the man who instructed team-mate Cameron Bancroft to use sandpaper on the ball in the infamous Cape Town Test. Although he was not charged by the ICC he was banned from international and Australian domestic cricket by Cricket Australia for 12 months. He was stripped of the vice-captaincy and banned from leadership roles for life.
 However, he returned for the 2019 World Cup and enjoyed a prolific tournament before suffering a record-breakingly poor Ashes were he made just 95 runs in 10 innings. The bounce back was emphatic as he scored an unbeaten 335 against Pakistan in Adelaide - the second highest Test score by an Australian - during a home summer which was crowned with the Allan Border Medal
 Prior to his ban, Warner had established himself as one of the best all-format openers in the world. In 2015 his seniority was recognised when he was named vice-captain to Steven Smith in the Test and ODI sides and he led the ODI side and T20 sides with great success when Smith was rested. It was quite a turnaround for the man who two years earlier had been suspended by Cricket Australia for punching England's Joe Root in a bar-room altercation in Birmingham, and had also been warned over a Twitter spat with a pair of journalists. It also completed a remarkable rise for a man who burst onto the international scene in 2008-09 as a T20 specialist; he was the first man since 1877 to debut for Australia before playing first-class cricket. His breathtaking 89 from 43 balls on debut against South Africa told the world of his talent, but few at the time expected him to become a key Test player as well.
 His debut in the baggy green came, appropriately, in Test match No. 2020, against New Zealand at the Gabba in 2011, and in his second match he achieved what Justin Langer and Matthew Hayden never did - he carried his bat through a Test innings. His unbeaten 123 in Hobart could not prevent a historic New Zealand win, but his patience in challenging conditions showed a different side to his batsmanship. Later in the same summer he made a very different kind of hundred, a 69-ball ton against India at the WACA. From his debut in late 2011, he was far and away the best performed Test opener in the world over the seven-year span prior to his ban.ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1099532.html?alt=1"",""David Warner"")"	Australia
